title,genre,platform,pc_dummy,post,did,min_ram_gb,rec_ram_gb,year,period
Alan Wake 2,Action-Adventure,Console,0,1,0,16.0,16.0,2024,ai_intensive
Alan Wake 2,Action-Adventure,PC,1,1,1,16.0,24.0,2024,ai_intensive
Assassin's Creed Mirage,Action-Adventure,Console,0,1,0,16.0,16.0,2023,ai_intensive
Assassin's Creed Mirage,Action-Adventure,PC,1,1,1,8.0,16.0,2023,ai_intensive
Assassin's Creed Odyssey,Action-Adventure,Console,0,0,0,16.0,16.0,2018,pre_ai
Assassin's Creed Odyssey,Action-Adventure,PC,1,0,0,8.0,8.0,2018,pre_ai
Assassin's Creed Origins,Action-Adventure,Console,0,0,0,16.0,16.0,2017,pre_ai
Assassin's Creed Origins,Action-Adventure,PC,1,0,0,6.0,8.0,2017,pre_ai
Assassin's Creed Shadows,Action-Adventure,Console,0,1,0,16.0,16.0,2025,ai_intensive
Assassin's Creed Shadows,Action-Adventure,PC,1,1,1,8.0,12.0,2025,ai_intensive
Assassin's Creed Syndicate,Action-Adventure,Console,0,0,0,16.0,16.0,2015,pre_ai
Assassin's Creed Syndicate,Action-Adventure,PC,1,0,0,6.0,8.0,2015,pre_ai
Assetto Corsa Competizione,Sports,Console,0,0,0,16.0,16.0,2019,pre_ai
Assetto Corsa Competizione,Sports,PC,1,0,0,4.0,16.0,2019,pre_ai
Baldur's Gate 3,Action-RPG,Console,0,1,0,16.0,16.0,2023,ai_intensive
Baldur's Gate 3,Action-RPG,PC,1,1,1,8.0,16.0,2023,ai_intensive
Batman Arkham Knight,Action-Adventure,Console,0,0,0,16.0,16.0,2015,pre_ai
Batman Arkham Knight,Action-Adventure,PC,1,0,0,6.0,8.0,2015,pre_ai
Battlefield 2042,FPS,Console,0,0,0,16.0,16.0,2021,pre_ai
Battlefield 2042,FPS,PC,1,0,0,8.0,16.0,2021,pre_ai
Battlefield V,FPS,Console,0,0,0,16.0,16.0,2019,pre_ai
Battlefield V,FPS,PC,1,0,0,8.0,12.0,2019,pre_ai
Black Myth: Wukong,Action-RPG,Console,0,1,0,16.0,16.0,2024,ai_intensive
Black Myth: Wukong,Action-RPG,PC,1,1,1,16.0,16.0,2024,ai_intensive
Call of Duty Black Ops III,FPS,Console,0,0,0,16.0,16.0,2015,pre_ai
Call of Duty Black Ops III,FPS,PC,1,0,0,6.0,,2015,pre_ai
Call of Duty Infinite Warfare,FPS,Console,0,0,0,16.0,16.0,2016,pre_ai
Call of Duty Infinite Warfare,FPS,PC,1,0,0,8.0,,2016,pre_ai
Call of Duty MW3 2023,FPS,Console,0,1,0,16.0,16.0,2023,ai_intensive
Call of Duty MW3 2023,FPS,PC,1,1,1,8.0,16.0,2023,ai_intensive
Call of Duty Vanguard,FPS,Console,0,0,0,16.0,16.0,2021,pre_ai
Call of Duty Vanguard,FPS,PC,1,0,0,6.0,12.0,2021,pre_ai
Call of Duty WWII,FPS,Console,0,0,0,16.0,16.0,2017,pre_ai
Call of Duty WWII,FPS,PC,1,0,0,8.0,,2017,pre_ai
Control,Action-Adventure,Console,0,0,0,16.0,16.0,2020,pre_ai
Control,Action-Adventure,PC,1,0,0,8.0,16.0,2020,pre_ai
Cyberpunk 2077,Action-RPG,Console,0,0,0,16.0,16.0,2020,pre_ai
Cyberpunk 2077,Action-RPG,PC,1,0,0,12.0,16.0,2020,pre_ai
Death Stranding,Action-Adventure,Console,0,0,0,16.0,16.0,2020,pre_ai
Death Stranding,Action-Adventure,PC,1,0,0,8.0,,2020,pre_ai
Deus Ex Mankind Divided,Action-RPG,Console,0,0,0,16.0,16.0,2016,pre_ai
Deus Ex Mankind Divided,Action-RPG,PC,1,0,0,8.0,16.0,2016,pre_ai
Dishonored 2,Action-Adventure,Console,0,0,0,16.0,16.0,2016,pre_ai
Dishonored 2,Action-Adventure,PC,1,0,0,8.0,16.0,2016,pre_ai
EA FC 25,Sports,Console,0,1,0,16.0,16.0,2024,ai_intensive
EA FC 25,Sports,PC,1,1,1,8.0,12.0,2024,ai_intensive
