title,genre,year,release_date,min_ram_gb,rec_ram_gb,post,time_index,time_since_break,period
Batman Arkham Knight,Action-Adventure,2015,"23 Jun, 2015",6.0,8.0,0,0,0,pre_ai
Just Cause 3,Action-Adventure,2015,"30 Nov, 2015",8.0,8.0,0,0,0,pre_ai
F1 2015,Sports,2015,"9 Jul, 2015",4.0,8.0,0,0,0,pre_ai
Metal Gear Solid V,Action-Adventure,2015,"1 Sep, 2015",4.0,8.0,0,0,0,pre_ai
The Witcher 3,Action-RPG,2015,"18 May, 2015",6.0,8.0,0,0,0,pre_ai
Call of Duty Black Ops III,FPS,2015,"5 Nov, 2015",6.0,,0,0,0,pre_ai
NBA 2K16,Sports,2015,29 Sep 2015,4.0,,0,0,0,pre_ai
Rainbow Six Siege,FPS,2015,"1 Dec, 2015",8.0,8.0,0,0,0,pre_ai
Fallout 4,Action-RPG,2015,"9 Nov, 2015",8.0,8.0,0,0,0,pre_ai
Assassin's Creed Syndicate,Action-Adventure,2015,"18 Nov, 2015",6.0,8.0,0,0,0,pre_ai
Call of Duty Infinite Warfare,FPS,2016,"3 Nov, 2016",8.0,,0,1,0,pre_ai
Deus Ex Mankind Divided,Action-RPG,2016,"23 Aug, 2016",8.0,16.0,0,1,0,pre_ai
F1 2016,Sports,2016,"7 Sep, 2016",8.0,8.0,0,1,0,pre_ai
Mafia III,Action-Adventure,2016,7 Oct 2016,6.0,8.0,0,1,0,pre_ai
Dishonored 2,Action-Adventure,2016,"11 Nov, 2016",8.0,16.0,0,1,0,pre_ai
Watch Dogs 2,Action-Adventure,2016,"28 Nov, 2016",6.0,8.0,0,1,0,pre_ai
Middle Earth Shadow of War,Action-RPG,2017,"9 Oct, 2017",6.0,12.0,0,2,0,pre_ai
Call of Duty WWII,FPS,2017,"2 Nov, 2017",8.0,,0,2,0,pre_ai
F1 2017,Sports,2017,"24 Aug, 2017",8.0,8.0,0,2,0,pre_ai
NBA 2K18,Sports,2017,"2 Feb, 2017",4.0,8.0,0,2,0,pre_ai
Assassin's Creed Origins,Action-Adventure,2017,"26 Oct, 2017",6.0,8.0,0,2,0,pre_ai
Wolfenstein II,FPS,2017,"26 Oct, 2017",8.0,16.0,0,2,0,pre_ai
FIFA 18,Sports,2017,29 Sep 2017,8.0,16.0,0,2,0,pre_ai
Monster Hunter World,Action-RPG,2018,"8 Aug, 2018",8.0,8.0,0,3,0,pre_ai
Shadow of the Tomb Raider,Action-Adventure,2018,"14 Sep, 2018",8.0,16.0,0,3,0,pre_ai
F1 2018,Sports,2018,"23 Aug, 2018",8.0,8.0,0,3,0,pre_ai
