title,min_ram_gb,rec_ram_gb,release_date,source
Far Cry 6,8.0,16.0,19 Oct 2021,PCGamingWiki
Fifa 23,8.0,12.0,30 Sep 2022,PCGamingWiki
F1 24,8.0,16.0,31 May 2024,PCGamingWiki
Assassin's Creed Mirage,8.0,16.0,5 Oct 2023,PCGamingWiki
Assassin's Creed Shadows,8.0,12.0,20 Mar 2025,PCGamingWiki
Watch Dogs Legion,4.0,8.0,29 Oct 2020,PCGamingWiki
Fifa 21,8.0,,,PCGamingWiki
Battlefield V,8.0,12.0,20 Nov 2019,PCGamingWiki
NBA 2K18,4.0,8.0,,PCGamingWiki
NBA 2K16,4.0,,29 Sep 2015,PCGamingWiki
NBA 2K17,4.0,8.0,20 Sep 2016,PCGamingWiki
NBA 2K19,4.0,8.0,11 Sep 2018,PCGamingWiki
NBA 2K21,4.0,8.0,,PCGamingWiki
NBA 2K22,4.0,8.0,,PCGamingWiki
NBA 2K23,4.0,8.0,8 Sep 2022,PCGamingWiki
Need for Speed Payback,6.0,8.0,10 Nov 2017,PCGamingWiki
Fifa 18,8.0,,29 Sep 2017,PCGamingWiki
Fifa 19,8.0,,28 Sep 2018,PCGamingWiki
Star Wars Outlaws,16.0,,,PCGamingWiki
Assetto Corsa Competizione,4.0,16.0,,PCGamingWiki
NBA 2K24,6.0,,,PCGamingWiki
Call of Duty Vanguard,6.0,12.0,21 Nov 2021,PCGamingWiki
Mafia III,6.0,8.0,7 Oct 2016,PCGamingWiki
Fifa 17,8.0,,,PCGamingWiki
Death Stranding,8.0,,14 Jul 2020,PCGamingWiki
F1 2020,8.0,16.0,10 Jul 2020,PCGamingWiki
Fifa 22,8.0,,1 Oct 2021,PCGamingWiki
EA FC 25,8.0,12.0,27 Sep 2024,PCGamingWiki
EA Sports FC 26,8.0,16.0,26 Sep 2025,PCGamingWiki
NBA 2K26,8.0,16.0,5 Sep 2025,PCGamingWiki
