title,has_dlss,has_fsr,has_xess,source
A Plague Tale Requiem,1,1,0,manual
Alan Wake 2,1,1,0,manual
Assassin's Creed Mirage,1,1,1,manual
Assassin's Creed Odyssey,0,0,0,manual
Assassin's Creed Origins,0,0,0,manual
Assassin's Creed Shadows,1,1,1,manual
Assassin's Creed Syndicate,0,0,0,manual
Assassin's Creed Valhalla,0,1,0,manual
Assetto Corsa Competizione,0,1,0,manual
Baldur's Gate 3,0,1,0,manual
Batman Arkham Knight,0,0,0,manual
Battlefield 1,0,0,0,manual
Battlefield 2042,1,0,0,manual
Battlefield V,1,0,0,manual
Black Myth: Wukong,1,1,0,manual
Call of Duty Black Ops III,0,0,0,manual
Call of Duty Infinite Warfare,0,0,0,manual
Call of Duty MW3 2023,1,1,0,manual
Call of Duty Vanguard,1,1,0,manual
Call of Duty WWII,0,0,0,manual
Control,1,0,0,manual
Cyberpunk 2077,1,1,0,manual
Death Stranding,1,0,0,manual
Deus Ex Mankind Divided,0,0,0,manual
Dishonored 2,0,0,0,manual
Dying Light 2,1,1,0,manual
EA FC 25,0,0,0,manual
Elden Ring,1,0,0,manual
F1 2015,0,0,0,manual
F1 2016,0,0,0,manual
F1 2017,0,0,0,manual
F1 2018,0,0,0,manual
F1 2020,0,0,0,manual
F1 2021,0,0,0,manual
F1 22,1,1,0,manual
F1 23,1,1,0,manual
F1 24,1,1,0,manual
FF7 Rebirth,1,1,0,manual
FF7 Remake Intergrade,1,0,0,manual
Fallout 4,0,0,0,manual
Far Cry 5,0,0,0,manual
Far Cry 6,1,1,0,manual
FIFA 16,0,0,0,manual
FIFA 17,0,0,0,manual
FIFA 18,0,0,0,manual
FIFA 19,0,0,0,manual
FIFA 21,0,0,0,manual
FIFA 22,0,0,0,manual
FIFA 23,0,0,0,manual
FIFA 24,0,0,0,manual
Forza Horizon 5,1,0,0,manual
God of War,1,0,0,manual
Halo Infinite,0,0,0,manual
Hogwarts Legacy,1,1,0,manual
Just Cause 3,0,0,0,manual
Mafia Definitive Edition,0,0,0,manual
Mafia III,0,0,0,manual
Marvel's Spider-Man 2,1,1,0,manual
Marvel's Spider-Man Remastered,1,0,0,manual
Metal Gear Solid V,0,0,0,manual
Middle Earth Shadow of War,0,0,0,manual
Monster Hunter Wilds,1,1,0,manual
Monster Hunter World,0,0,0,manual
NBA 2K16,0,0,0,manual
NBA 2K17,0,0,0,manual
NBA 2K18,0,0,0,manual
NBA 2K19,0,0,0,manual
NBA 2K21,0,0,0,manual
NBA 2K22,0,0,0,manual
NBA 2K23,0,0,0,manual
NBA 2K24,0,0,0,manual
NBA 2K25,0,0,0,manual
Need for Speed Payback,0,0,0,manual
Rainbow Six Siege,1,0,0,manual
Red Dead Redemption 2,0,0,0,manual
Resident Evil 3,0,0,0,manual
Resident Evil 4 Remake,1,1,0,manual
Resident Evil Village,1,0,0,manual
Shadow of the Tomb Raider,1,0,0,manual
Star Wars Outlaws,1,1,0,manual
The Last of Us Part I,1,1,0,manual
The Witcher 3,1,0,0,manual
Uncharted Legacy of Thieves,1,0,0,manual
Watch Dogs 2,0,0,0,manual
Watch Dogs Legion,1,0,0,manual
Wolfenstein II,0,0,0,manual
